scenario,P_laser,P_EUV,eta,CE,pulse_freq,F1,F3,F7,type,droplet_diameter,pulse_width,plasma_temp,F2,F4,F5,F6
sweep,30.0,30.657873222341628,0.017032151790189794,0.06,27.0,0.7,0.9,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,57.13374488905629,0.02116064625520603,0.06,36.0,0.65,0.85,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,165.45518881898656,0.06127969956258761,0.06,72.0,0.6,0.85,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,148.57135492908614,0.07074826425194577,0.06,50.0,0.6,0.95,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,137.3786728756049,0.057241113698168714,0.06,50.0,0.7,0.98,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,46.37281186261991,0.030915207908413275,0.06,50.0,0.65,0.95,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,206.93867293694134,0.06897955764564712,0.06,45.0,0.65,0.95,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,200.330547246518,0.08347106135271583,0.06,36.0,0.65,0.95,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,114.89943667985177,0.09574953056654315,0.06,50.0,0.6,0.9,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,50.60982246227823,0.042174852051898526,0.06,72.0,0.65,0.9,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,27.73807577259481,0.011557531571914505,0.06,54.0,0.6,0.95,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,356.57125182980656,0.14857135492908607,0.06,63.0,0.7,0.95,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,17.518784698480932,0.00973265816582274,0.06,54.0,0.6,0.9,0.8,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,118.23152034356748,0.03941050678118916,0.06,27.0,0.6,0.98,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,108.57996766245992,0.07238664510830661,0.06,54.0,0.6,0.9,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,101.21964492455646,0.042174852051898526,0.06,72.0,0.65,0.9,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,118.23152034356747,0.05630072397312737,0.06,36.0,0.7,0.9,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,12.40913916142399,0.006893966200791106,0.06,36.0,0.6,0.85,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,68.96838686708102,0.04597892457805401,0.06,27.0,0.7,0.98,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,17.234915501977767,0.009574953056654316,0.06,50.0,0.6,0.85,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,135.12173753550567,0.07506763196416982,0.06,54.0,0.7,0.85,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,90.48330638538327,0.06032220425692218,0.06,45.0,0.6,0.85,0.9,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,229.93404916756216,0.08516075895094895,0.06,36.0,0.7,0.9,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,46.534271855339966,0.01551142395177999,0.06,27.0,0.6,0.9,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,63.33831446976829,0.04222554297984553,0.06,63.0,0.7,0.85,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,156.83773106799765,0.07468463384190364,0.06,36.0,0.65,0.85,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,20.42656652086254,0.008511069383692725,0.06,50.0,0.6,0.85,0.8,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,166.91508754385998,0.0794833750208857,0.06,36.0,0.6,0.98,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,78.41886553399883,0.0653490546116657,0.06,45.0,0.65,0.85,0.9,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,359.5676489040068,0.11985588296800226,0.06,63.0,0.6,0.95,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,72.99493624367055,0.02433164541455685,0.06,27.0,0.6,0.9,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,95.38005002506284,0.0794833750208857,0.06,63.0,0.6,0.9,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,15.511423951779989,0.008617457750988882,0.06,45.0,0.6,0.85,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,92.02684514136921,0.04382230721017581,0.06,27.0,0.65,0.95,0.9,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,205.4672279451467,0.13697815196343113,0.06,72.0,0.6,0.95,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,179.7838244520034,0.08561134497714447,0.06,45.0,0.6,0.95,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,355.8503141878939,0.11861677139596463,0.06,54.0,0.65,0.9,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,124.82134097667665,0.04623012628765802,0.06,72.0,0.6,0.95,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,111.29474847028781,0.04637281186261992,0.06,45.0,0.65,0.95,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,68.36516482451181,0.045576776549674534,0.06,36.0,0.6,0.85,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,370.31130946610557,0.12343710315536852,0.06,63.0,0.65,0.85,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,33.09103776379731,0.018383909868776284,0.06,36.0,0.6,0.85,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,218.98480873101164,0.0811054847151895,0.06,45.0,0.6,0.9,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,45.04057917850189,0.015013526392833964,0.06,72.0,0.6,0.98,0.85,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
